ID,_Icon1,_IconIndex1,_Place_Info1,_NPC_Info1,_Icon2,_IconIndex2,_Place_Info2,_NPC_Info2,_Talk1,_Talk2,_Purpose,_Accept_Message,_Accept_Image,_Complete_Message,_Complete_Image,_City_Name,_Mission_OnOff1,_Mission_OnOff2,_Mission_OnOff3,_Mission_OnOff4,_Quest_BaseLV,_Quest_Kind,_Quest_Guidegroup,_Quest_Npcposition,_Quest_Purpseposition,_Quest_Next,_Quest_Guidediable,_Quest_DifficultyLV,_Mission_Note1,_Npc_Talk1,_Npc_Talk2,_Npc_Talk3,_Npc_Talk4,_Npc_Talk5,_Npc_Talk6
115003000,10005000,0,古木森林,喬艾,10005000,0,古木森林,無,古木森林某處會有特別的緣分在等著你。,這是彩虹島物語Online劇情的開始！,前往“古木森林3”，向那裡的NPC提交任務。,,0,很好！現在可以出發了吧？,0,17,1,0,0,0,8,劇情,0,47,47,0,1,8,,0,0,0,0,0,0
115005000,10005000,0,冥王神殿,亞瑟絲,10004000,178,古木森林,喬艾,冥王神殿的怪物們偷走了艾利亞斯物品保管處的魔法弓[賽蕾斯蒂亞]！,怪物們的隊長“大王哥布林”身上會不會有弓呢？,從“冥王神殿”的大王哥布林身上收集<賽蕾斯蒂亞>，然後向冥王神殿的“亞瑟絲”報告。,快去快回,0,噢? 弓找回來了！你真厲害！,0,17,1,1,1,1,11,劇情,0,4,4,0,1,11,,0,0,0,0,0,0
115007000,10005000,0,貝羅斯村莊,亞輝,10005000,2,冥王神殿,亞瑟絲,因為有危險，所以我讓亞輝在貝羅斯村莊酒館等候。,你能把賽蕾斯蒂亞交給亞輝嗎？,把<賽蕾斯蒂亞>還給“貝羅斯村莊”餐廳的“亞輝”並提交任務。(報告時，需要從裝備視窗卸下賽蕾斯蒂亞。),那麼辛苦你了。,0,謝謝！這次保證不會失敗。,0,17,1,1,1,1,11,劇情,0,4,4,0,1,11,,0,0,0,0,0,0
115009000,10005000,0,蛇龍巢穴,穆亞,10004000,178,蛇龍巢穴,喬艾,一定是蛇龍巢穴裡的紅龍幼蟲“影波克”偷走了弓。這次可要好好教訓一頓。,如果這個預感應驗，也許能在蛇龍巢穴見到那個孩子……,消滅“蛇龍巢穴”的BOSS[影波克]，然後向那裡的NPC提交任務。,拜託了。,0,嘿嘿，真厲害~,0,17,1,1,1,1,30,劇情,0,52,52,0,1,30,,0,0,0,0,0,0
115012000,10005000,0,龍京,柳香帥,10005000,0,龍京,無,訪問吉恩蒂亞的第一大城市“龍京”。,新的劇情在等著你。,到“龍京”打探龍京的情況，然後向“柳香帥”提交任務。,不確定前往龍京路途是否凶險，一定要小心。,0,我在紅高粱地遇到了一位陌生的老爺爺。要不要找機會問他有沒有見過蕭羽姐姐呢？,0,17,1,1,1,1,50,劇情,0,19,19,0,1,50,,0,0,0,0,0,0
115013000,10005000,0,紅高粱地,鍾離權,10005000,175,紅高粱地,鍾離權,訪問與龍京相連的紅高粱地地區。,去見神秘的人物。,與“紅高粱地”的“鍾離權”進行對話後，到“紅高粱地”1、2地區使用<挖掘>技能收集<災難的種子>，然後向“鍾離權”報告。,沒想到你居然會幫我，謝謝你。,0,謝謝！我也會遵守約定，呵呵！,0,17,1,1,1,1,50,劇情,0,12,12,0,1,50,,0,0,0,0,0,0
115015000,10005000,0,香格里拉,蕭羽,10005000,175,紅高粱地,鍾離權,蕭羽小姐追著宣玉去了阿爾卡笛亞方向。,去找她的時候一定要小心。宣玉是非常可怕的傢伙。,進入“阿爾卡笛亞4”的劇情副本“蕭羽的足跡”尋找“蕭羽”。(單人副本),沒想到你居然會幫我，謝謝你。,0,讓你為我去涉險……真對不起。,0,17,1,1,1,1,50,劇情,0,22,22,0,1,50,,0,0,0,0,0,0
115016000,10005000,0,香格里拉,藍采和,10005000,176,香格里拉,藍采和,包括鍾離權師兄和我在內的八位神仙被人們稱為八仙。在金蘭雲系還算有一些名氣。怎麼不相信？,只要喝下這個藥水，八仙的力量將通過我們共有的小宇宙傳遞到你的身上。,"從""香格里拉""及""蕭羽的足跡""的任意怪物身上收集<萬年蔘>，然後向""藍采和""報告。",那麼拜託你了。,0,很好，快點喝下去！,0,17,1,1,1,1,50,劇情,0,22,22,0,1,50,,0,0,0,0,0,0
115017000,10005000,0,龍京,蕭羽,10005000,46,香格里拉,蕭羽,玄武打算把香格里拉的仙氣全部吸收，然後到人間為非作歹。,必須在這裡阻止玄武，不能讓人們遭到蹂躪。,"打敗[玄武]，然後向""龍京""酒館2層客房的""蕭羽""報告。",希望你盡快。,0,不知道如何感謝你才好……謝謝！,0,17,1,1,1,1,50,劇情,0,22,22,0,1,50,,0,0,0,0,0,0
115018000,10005000,0,十六日的月,黑月公主,10005000,55,奧亦奇,亞美,統治奧亦奇無數年的黑月城好像發生了什麼事情。,請訪問“奧亦奇”。,"在""奧亦奇""的""橋""上與""亞美""對話，然後到""黑月城""裡的""十六日的月""向[黑月公主]提交任務。",拜託你了。,0,謝謝你專程來傳信。,0,17,1,1,1,1,53,劇情,0,20,20,0,1,53,,0,0,0,0,0,0
